Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bangladesh,BGD,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,2.614758861,3.140630452,5.694363742,5.208333333,6.175230717,8.615594453,10.85604433,12.2324159,14.72190692,16.20459432,12.92293765,19.93934085,19.93352316,14.13985325,23.5574147,26.63088203,37.33753149,39.03671233,44.67591577,45.68446442,43.91568778,50.66772847,59.78963582,63.33707131,59.07801573,67.30225958,76.4252301,81.41637832,94.93939077,98.73329103,107.0218434,116.0137066,111.1665883,124.8057802,142.1941932,147.2448247,132.205006,138.4551692,161.8895211,158.1075449,174.5902686,188.6391615,160.2668935,170.6713742,197.7487043,193.1901015,184.4110798,200.0640779,188.8528733,212.9639327,255.764522,260.4432855,254.6001563,279.2202373,298.9664056,289.4022702,303.7127465,318.4668631,,
Bulgaria,BGR,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,33.80362183,36.30019259,42.28250362,67.90813397,86.56635469,114.4603937,146.4252291,202.774675,166.4915825,154.2283921,153.8857696,156.5101744,153.6191748,138.4585163,171.6123326,166.9680203,188.3700787,187.9049924,210.4860149,216.8016723,273.0125523,264.6935568,264.6642183,246.3882322,233.4383202,221.5239592,208.2352941,235.15625,209.6808732,177.6192946,122.0452899,58.55275513,50.44031504,56.25293677,31.01550775,45.68165596,46.49348534,47.79411765,34.2666294,42.96653432,57.71041246,113.7684054,147.327415,80.85179596,74.23195714,73.93997446,102.0094003,111.2428756,104.600445,97.05335844,133.0824615,95.86976183,109.1382581,108.8032129,122.0021654,123.8166476,126.4671489,126.8700403,,
Bahrain,BHR,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,,,,,,,,,,,,18,28,40,23,,,21.5,13,,150,84,213.5,255,240,710,155,175,252,301,350,350,300,300,300,300,300,564,216.5,173,150,515.335,1466.529412,2306.32,2090.193333,1981.275862,1153.542857,2193.358333,1098.514706,1787.14375,3100.73125,3001.44375,2811.925,3045.6,1587.83125,458.88125,211.73125,1990.53125,,
"Bahamas, The",BHS,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,,,,,,85.71428571,114.2857143,142.8571429,142.8571429,171.4285714,178.5714286,207.1428571,242.5714286,195,163,222.5714286,257.1428571,171.4285714,171.4285714,171.4285714,171.4285714,157.1428571,171.4285714,157.1428571,62.5,62.5,62.5,62.5,62.5,12.5,37.5,37.5,25,33.33333333,33.33333333,66.66666667,50,50,50,42.85714286,114.2857143,,,,,,,,,,,155.0975,134.5525,152.59125,189.88,189.88,189.88,188.2675,,
Bosnia and Herzegovina,BIH,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.64705882,10,10,49.47368421,44.21052632,41.8,32.27722772,32.69809428,17.65683382,58.442607,24.63707317,15.48393379,21.30039139,11.87103175,72.71213641,81.52988048,103.3781095,120.7439781,101.6353221,120.0344036,128.9140802,107.9054581,106.4787453,84.7627794,,
Belarus,BLR,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.2899408,123.197903,86.74698795,83.92169448,124.7191011,138.4615385,149.5070309,127.9521191,131.2571335,131.9215414,135.9864672,135.6257856,146.9178082,167.7011909,231.967509,218.3547744,237.4184191,281.1147186,270.4607046,303.8885874,271.386092,256.3429681,215.2245633,194.1865995,146.6186354,142.446307,156.1857493,,
Belize,BLZ,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,10,25.5,28.62162162,7.513513514,26.62162162,31.44736842,44.73684211,56.05263158,64.92307692,84.61538462,26.375,40.35,63.63414634,51.2195122,50,21.42857143,14.11627907,37.48837209,36.09302326,42.11111111,31.5,25.69565217,37.30434783,42.89130435,56.30232558,85.68181818,83.36734694,89.62,94.23076923,98.07692308,96.2962963,103.5714286,106.6666667,76.66666667,80.64516129,52.38095238,75,88.09375,95.234375,95.9375,72.30769231,367.7285714,382.3714286,78.65714286,81,89.25714286,60.87142857,49.75714286,121.4383562,58.01333333,234.7066667,140.0705128,389.1102564,374.2176923,382.6192045,413.2660227,333.4345556,238.6815556,,
Bermuda,BMU,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,,,,,,,,,,,,,,,,1156.666667,1060,1250,1153.333333,1110,993.3333333,670,740,976.6666667,110,333.3333333,433.3333333,333.3333333,333.3333333,,,333.3333333,333.3333333,333.3333333,250,250,250,250,250,250,250,,,,,,,,,,,,339.0666667,316.9,285.5,177.2,181.4666667,214.9333333,,
Bolivia,BOL,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,0.618238022,0.694444444,0.88190184,1.081282625,1.090909091,1.060820368,2.002762431,1.209677419,1.907007204,0.987851662,2.5769956,3.039779682,3.157926103,3.506721216,1.826484018,1.60486995,1.958807588,2.472029835,1.704188482,1.52753474,3.493939394,1.337958375,4.089224768,2.459149546,2.829268293,3.252427184,3.155072464,2.167307692,4.896650718,2.458095238,3.673933649,6.389302326,4.615909091,4.594042553,2.603461538,3.367657993,4.371518106,1.699394755,0.631921824,2.386450382,3.66,4.042727273,3.675583381,5.064263761,6.472937467,3.963636364,5.88731719,4.708860759,5.155365963,7.255527112,8.017058552,7.952557666,9.719647137,9.05660998,9.187543025,7.698569175,7.642409809,6.658040179,,
Brazil,BRA,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,11.42728966,10.60073685,12.0623,9.821184962,10.83231695,10.506927,16.71174868,22.0148178,22.62603639,35.52141388,38.28013229,53.34096283,52.97260404,55.80441631,58.4736562,69.13722755,81.62839918,76.62131444,79.62140625,88.34603592,56.70819686,55.08843359,45.25221125,66.85638608,60.5467177,75.89682203,76.69935479,75.21611153,69.39167045,67.76087875,73.26612729,78.37075787,101.1386622,117.0032178,98.81587294,116.3653222,133.5841892,132.096898,130.814379,144.5168104,148.5714286,164.9112959,188.7633426,229.8192818,174.3133946,184.5780106,233.1424107,214.677601,148.4863843,202.7967653,251.4273191,230.132479,265.5677821,285.0605357,234.9650836,263.389183,297.3863762,304.6585157,,
