Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Bahamas, The",BHS,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.6064094,258.0824164,123.1806563,191.3847311,209.6749784,179.2570476,170.7974837,252.2930867,226.147886,182.4279864,,
Belarus,BLR,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.05289343,30.4096405,18.35174172,16.02279342,23.85557705,22.77509922,23.00708867,18.85038845,19.95884264,17.35397543,16.85772232,15.11089291,14.84311207,16.29132693,23.68635731,20.08581348,21.94545375,46.66628739,24.2374591,26.67016301,25.91063647,26.99584452,16.53896015,14.68444966,11.5781354,10.00056635,10.58640033,,
Belize,BLZ,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.28044669,,
Brazil,BRA,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,214.8909246,204.1795567,249.0086715,228.9122437,286.5371377,304.7715254,323.434905,338.5961161,409.7873004,445.613325,324.8624124,384.5053486,324.6340834,290.5718158,261.887522,224.4572885,237.041617,229.6828447,231.5018902,213.5730785,179.1969556,180.9535018,144.0886088,158.8842061,161.4702854,176.5801928,172.3838974,171.9659374,155.8992468,169.1884776,176.5058737,190.9013107,210.0465501,206.8171598,184.110525,215.9292096,238.9541159,241.4295222,229.8961158,250.5421483,277.985447,275.3455241,312.7442437,348.0629677,281.6431161,279.6966582,340.2846718,334.1700978,274.5396646,322.0155018,401.8982874,391.6471284,442.7540251,480.7485818,402.5328537,488.3855079,576.0438121,590.1301028,,
Barbados,BRB,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,73.79789891,49.06512446,37.98336711,32.05112724,27.24928783,27.42688852,24.24456481,18.84591338,15.53805647,17.96479472,16.1494675,19.05687656,18.39424253,17.27072891,21.00250546,17.82758437,19.26236796,20.58138868,19.08023896,19.74837001,22.82195637,26.06872158,22.90459032,23.59462507,23.30035782,21.66289026,20.11830032,18.4429489,20.6183105,20.15869152,20.93270122,21.30315954,21.23980982,18.3562235,20.76480616,21.93779087,20.87917727,19.93227991,21.26738843,18.46306766,20.6926185,22.81545375,21.07804189,18.08943524,24.38269795,16.85736368,21.45612693,27.59797169,26.10166814,21.54817281,26.39830626,30.08523837,26.70968347,26.89098664,25.67180445,25.25475945,24.26808904,26.63146995,,
Central Europe and the Baltics,CEB,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.9104672,66.58160973,61.18596045,52.108933,56.80827502,64.0269412,67.65751357,63.01249489,58.93626832,66.13520694,70.09400636,69.28304748,59.80255777,59.95581545,64.91645748,66.64933524,68.39145634,70.49775195,73.40571099,69.08668826,69.82451607,77.01958422,71.57841939,74.10541881,80.54194048,77.44172599,81.67222958,,
Switzerland,CHE,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,361.0169492,280.8225562,285.506396,313.1840796,307.6212471,305.0458716,304.0909091,326.7942584,429.4117647,462.3824451,480.8917197,418.8939394,505.4140127,436.036036,434.5454545,430.2259887,444.5714286,499.7159091,479.9479167,506.1452514,479.8866856,509.2814371,494.4134078,494.2307692,431.9711538,466.8463612,527.6785714,494.7075209,543.2515337,575,609.8964327,658.864326,651.8454565,1035.714286,540,961.5384615,636.8421053,666.8166667,566.6666667,592.9466667,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,19.94703563,29.1812423,34.03987943,33.67465263,35.9343609,53.21443899,60.23781548,76.9622605,69.831914,91.07578688,78.03294055,80.53482468,108.1852692,106.7411954,75.0959856,98.45617613,95.22436677,116.4942207,118.8670448,106.950286,93.90620382,95.7865468,113.8351521,130.4288301,134.4625493,169.1910633,188.6381873,186.1783439,220.2269504,196.5910256,219.3548387,208.1064731,254.9668874,247.4025974,241.0714286,143.9754935,124.2857143,114.0776699,103.9816193,92.60326609,95.24752475,96.91335878,88.65921058,108.4823374,95.62152077,103.9192847,101.0554802,102.0200134,83.73309064,47.91909091,57.40734513,36.90288136,39.20639166,41.72433367,45.27240909,31.04552147,33.86307354,31.04552147,,
China,CHN,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,193.6170213,175.1504425,160.2827763,141.3996627,136.4064955,142.7091328,146.4964693,200.5952381,174.7484909,167.2485769,141.8577198,132.6390293,132.5612014,124.6523586,123.075265,115.9263272,120.9228121,120.2435649,119.1258025,121.0048292,118.6384278,122.6189319,129.6256618,131.860216,125.165702,121.1980438,132.9475541,142.4683943,138.5053434,142.3656531,147.9987625,140.7079893,126.0815388,134.7472655,140.3593068,132.8667244,132.9052679,125.9136913,123.6014028,119.973872,118.1251874,126.6816675,113.2319939,110.5477872,115.1949271,110.0687809,101.1678361,98.62345881,96.10379603,93.47178232,93.93347402,94.41666903,93.16043396,87.89423269,85.22610059,88.13968095,90.06735858,90.06261805,,
Cote d'Ivoire,CIV,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,1137.444444,430.1290205,286.8248925,262.1298656,230.1819266,628.3333333,717.3076923,770.9677419,585.7142857,707.971831,602.2456618,1044.680851,675.862069,1077.142857,768.5185185,902.173913,638.2978723,876,1833.333333,1400,2466.666667,1548,1370.37037,2160,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,543.7083333,1416.666667,,,,411.3647059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",COD,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",COG,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,1420,650,315.5507559,283.4643039,278.1026088,329.6832876,298.9583333,303.9864588,237.7269807,164.1492059,191.0797635,176.0039252,165.2678814,160.0261267,212.6156824,248.5370312,240.4605263,265.3849309,305.7913849,356.5068493,305.3435115,385.0253807,351.754007,257.5527198,252.9699027,243.3420467,272.6133292,269.4426468,262.4034034,303.1202818,310.3768715,318.6292835,545.4449153,471.8483412,476.6666667,407.5630252,548.4729064,582.5024438,690.9198113,208.6212361,676.2243027,762.5044643,727.3679525,931.6666667,315.9594855,252.0693746,236.3100231,285.1906994,226.9626662,267.3437763,271.6542527,288.1830173,454.921542,543.3792248,519.1314624,502.3097539,556.9623516,518.3243717,,
Comoros,COM,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,191.6666667,110,245,248.2758621,191.25,251.5789474,437.7120698,409.7700672,329.3255132,295.0435158,237.037037,241.6666667,220.3333333,180.8710337,205.6652758,241.3293051,219.7222222,183.75,172.3809524,144,245.2777778,237.7777778,264.2622951,265.625,316.6666667,364.1516245,445.8333333,359.602649,295.4314721,307.7694236,219.3877551,317.7339901,277.2727273,266.4285714,465.8536585,621.875,349.8098859,1246.268657,23434.6,,,,,,,,,,,,,,,,,,,
Caribbean small states,CSS,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,20.34211743,20.96153846,19.83333333,20,23.83808492,17.51004534,9.405555556,10.72702703,10.93333333,8.8,9.773784355,9.155730534,15.17979198,9.65312843,15.76616076,16.04698363,14.18236799,17.32880079,17.67675619,19.43990836,28.14609141,15.36508785,34.48428312,9.115225415,4.520663158,2.261239691,3.122043519,0.86266613,1.477170994,3.062985332,3.366583541,4.575786463,2.227722772,2.362204724,2.660585329,3.821912789,3.81981982,2.825093477,2.210144928,3.343261896,0.734518131,1.781621148,4.171506945,3.601827088,2.48044701,2.660457636,2.77870105,2.452830189,2.245670065,1.047299114,1.045401914,1.353775202,11.83882104,12.37223218,11.68764149,11.82008445,10.24697851,11.43760544,,
Cuba,CUB,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,1050,1227.425614,1639.309492,1827.272727,1533.333333,1545,1712.105263,8763.188746,15291.61206,8734.846815,4151.265283,2459.967759,956.1409558,616.9917571,364.8291069,445.0563204,694.3521595,943.5146444,334.8233598,452.177626,410.7902088,553.1139589,563.4439121,317.6762034,300.7321773,365.6922228,374.9863845,381.9652678,411.2493549,394.5578231,287.4015748,235.3773585,226.3157895,827.3333333,443.6363636,391.6666667,386.1290323,338.6,311,260.8,411.8,754.8856681,333.1383866,250.7774602,358.7676519,436.97742,584.1093035,598.1555131,521.7827369,571.5866206,489.563598,487.8826397,517.9962534,651.1632891,546.3144757,431.3819436,423.7574184,361.4670887,,
Curacao,CUW,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,331.9057448,97.8993457,,,,153.4560843,39.75908019,64.83952296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,CZE,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.0806838,94.81836103,104.4457795,105.1243178,108.6686642,96.74114315,93.27724679,100.7785646,119.9872327,174.4183624,130.9266066,127.6761152,153.1873602,147.6155798,139.2388195,164.7516567,120.5759291,140.2402043,183.7391457,151.3751155,248.3938802,339.7900498,275.359932,294.5233838,312.956344,286.2843078,,
Germany,DEU,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,54.15496971,57.64284601,55.88232188,57.09033425,57.63464286,56.71539791,56.4313683,54.58204475,57.26101028,58.81607691,61.16323547,58.87070371,59.15881756,57.46990042,63.71782898,60.56640685,56.47663909,55.919499,55.33276208,54.07681758,55.56124438,56.29807359,51.29517115,52.4080629,54.89106026,56.83539008,54.45645271,55.91774283,57.31179481,52.14042295,56.57819706,57.56783401,64.84384858,64.99186047,61.83572994,58.65428631,60.24375277,59.47030965,60.90682731,60.97090141,56.1614383,57.44202654,55.02591865,57.52303895,52.8730291,50.34132955,59.32284051,55.67829801,68.28148928,66.07328601,59.57737132,57.16553843,56.07186449,58.80091939,55.29589458,53.53878107,48.38843376,45.06934669,,
Djibouti,DJI,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
